instance family sequential-induced-nofilter-except-0 sequential-induced-nofilter-except-1 sequential-induced-nofilter-except-2 sequential-induced-nofilter-except-3
si2_m4Dr4_m625.06 6 648 40367 23857 446924
si2_m4Dr4_m625.09 6 124483 25904 31068 29176
si2_m4Dr4_m625.01 6 348 2865 1000000 9405
si2_m4Dr4_m625.08 6 642 2021 69528 50905
si2_m4Dr4_m625.04 6 92617 1579 6283 1982
si4_r01_m400.01 7 110527 378128 123381 234149
si4_r01_m400.08 7 325072 673735 696203 240426
si4_r01_m400.02 7 859727 145804 229738 215871
si4_r01_m400.03 7 286051 369298 173294 400639
si4_r01_m400.07 7 691320 284129 491465 514142
si4_r01_m400.06 7 103658 241169 535456 262661
si4_r01_m400.04 7 669327 324939 185325 365576
si4_r01_m400.00 7 801589 327637 734144 271830
si4_r01_m400.05 7 89646 174634 374162 170323
si4_r01_m400.09 7 162973 635000 246868 163332
si2_b09m_m400.09 4 76 76 97 79
si2_b09m_m400.03 4 82 84 219 209
si2_b09m_m400.01 4 60 139 366 370
si2_b09m_m400.08 4 65 110 338 10849
si2_b09m_m400.05 4 64 246 1542 158
si2_b09m_m400.06 4 93 64 121 2313
si2_b09m_m400.00 4 89 76 204 323
si2_b09m_m400.02 4 63 122 145 491
si2_b09m_m400.04 4 59 82 118 149
si2_b09m_m400.07 4 105 64 343 197
si2_b09_m800.07 3 19 16 17 16
si2_b09_m800.04 3 19 15 22 22
si2_b09_m800.05 3 13 18 29 22
si2_b09_m800.00 3 19 17 15 20
si2_b09_m800.02 3 13 25 16 23
si2_b09_m800.01 3 13 16 15 29
si2_b09_m800.08 3 19 14 17 16
si2_b09_m800.09 3 14 18 16 20
si2_b09_m800.03 3 18 19 16 16
si2_b09_m800.06 3 14 25 15 15
si6_b03_m400.04 3 7 9 10 11
si6_b03_m400.09 3 7 8 15 11
si6_b03_m400.02 3 9 8 10 11
si6_b03_m400.06 3 10 12 9 11
si6_b03_m400.05 3 7 13 10 16
si6_b03_m400.08 3 7 8 10 15
si6_b03_m400.01 3 7 12 9 11
si6_b03_m400.07 3 7 9 10 11
si6_b03_m400.03 3 7 8 10 12
si6_b03_m400.00 3 7 9 14 16
si2_r005_m600.03 7 87953 83464 140135 1000000
si2_r005_m600.00 7 490830 1000000 648004 1000000
si2_r005_m600.06 7 319651 1000000 1000000 171364
si2_r005_m600.01 7 291571 891793 1000000 375905
si2_r005_m600.04 7 568684 1000000 60294 608698
si2_r005_m600.09 7 142333 199629 89950 1000000
si2_r005_m600.05 7 270599 856687 1000000 33958
si2_r005_m600.02 7 278398 194133 204439 1000000
si2_r005_m600.08 7 1000000 728589 52421 1000000
si2_r005_m600.07 7 54972 168191 1000000 79143
si4_r01_m600.05 7 1000001 1000001 1000001 1000001
si4_r01_m600.02 7 1000000 1000000 1000000 1000000
si4_r01_m600.03 7 1000000 1000000 1000000 1000001
si4_r01_m600.07 7 1000000 1000000 1000001 1000000
si4_r01_m600.08 7 1000000 1000001 1000000 1000000
