instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd
si6_m4Dr2_m625.01 6 993408 26199 991251 62784 994497 23308 994474 34110 995077 22670 995077 22868 995355 22425 995355 22425
si6_m4Dr2_m625.06 6 993937 24432 993242 57362 995008 21981 995051 32912 995512 21469 995512 21513 995611 21471 995611 21471
si6_m4Dr2_m625.00 6 994265 21280 992757 52262 995243 20374 995107 28701 995597 20367 995597 20370 995602 20675 995602 20675
si6_m4Dr2_m625.03 6 994072 24123 992926 55989 995204 22070 995116 33094 995328 21639 995328 21661 995496 21510 995496 21510
si6_m4Dr2_m625.02 6 994664 23381 993948 54281 995310 21252 995310 32615 995494 21108 995494 21135 995675 21107 995675 21107
si6_m4Dr2_m625.07 6 994073 23870 993418 53148 995033 21781 995033 32422 995284 21452 995284 21469 995624 21659 995624 21659
si6_m4Dr2_m625.04 6 994561 24356 993939 57383 995110 22092 995110 33310 995495 21896 995495 21943 995551 21283 995551 21283
si2_m4D_m1296.01 5 994778 18855 994967 48915 994991 19036 994991 40262 995119 19202 995119 19202 995232 19448 995232 19448
si2_m4D_m1296.08 5 992507 31439 992424 85345 993386 25761 993528 46700 994164 23261 994164 23261 994722 22580 994722 22580
si2_m4D_m1296.06 5 994813 18639 994818 48504 995070 18777 995070 39903 995165 19136 995165 19136 995161 19574 995161 19574
si2_m4D_m1296.05 5 992292 32014 992234 83927 993307 27044 993419 52117 994199 23916 994199 23916 994716 23419 994716 23419
si2_m4D_m1296.09 5 992803 30287 992444 81999 993767 26719 993699 51335 994460 24055 994460 24055 995064 22560 995064 22560
si2_m4D_m1296.03 5 994845 18853 994930 48579 995017 18895 995017 39783 995139 19353 995139 19353 995192 19337 995192 19337
si2_m4D_m1296.07 5 992824 30658 992609 83527 993695 26157 993722 48689 994519 22397 994519 22397 994875 22117 994875 22117
si2_m4D_m1296.02 5 993143 27789 992909 74243 994031 25567 993974 50155 994631 23770 994631 23770 994984 23101 994984 23101
si2_m4D_m1296.04 5 993158 29836 993250 79826 993879 25787 994082 49812 994431 23875 994431 23875 994936 23579 994936 23579
si2_m4D_m1296.00 5 992404 34419 991882 89278 993137 27538 993308 49556 994037 23455 994037 23455 994843 23070 994843 23070
si4_b03_m800.05 3 995665 12952 995665 25175 995665 12952 995665 19040 995665 12952 995665 12952 995665 12952 995665 12952
si4_b03_m800.00 3 995665 13048 995665 25354 995665 13048 995665 19182 995665 13048 995665 13048 995665 13048 995665 13048
si4_b03_m800.08 3 995665 12972 995665 25205 995665 12972 995665 19068 995665 12972 995665 12972 995665 12972 995665 12972
si4_b03_m800.09 3 995665 12966 995665 25140 995665 12966 995665 18971 995665 12966 995665 12966 995665 12966 995665 12966
si4_b03_m800.03 3 995665 12917 995665 25092 995665 12917 995665 18923 995665 12917 995665 12917 995665 12917 995665 12917
si4_b03_m800.02 3 995665 12920 995665 25138 995665 12920 995665 19007 995665 12920 995665 12920 995665 12920 995665 12920
si4_b03_m800.04 3 995665 12954 995665 25202 995665 12954 995665 19044 995665 12954 995665 12954 995665 12954 995665 12954
si4_b03_m800.01 3 995665 12909 995665 25161 995665 12909 995665 19010 995665 12909 995665 12909 995665 12909 995665 12909
