instance family sequential-nofilter-except-0 sequential-nofilter-except-1 sequential-nofilter-except-2 sequential-nofilter-except-3
si4_m4Dr6_m256.02 6 53 174 158 91
si4_m4Dr6_m256.04 6 339 353 87 598981
si2_b03m_m400.02 4 57 60 127 88
si2_b03m_m400.00 4 90 1000000 247 72
si2_b03m_m400.01 4 58 97384 1000000 78
si2_b03m_m400.05 4 293 77 1000000 74
si2_b03m_m400.08 4 62 155 325 170
si2_b03m_m400.07 4 66 71 112 68
si2_b03m_m400.09 4 72 72 95 66
si2_b03m_m400.03 4 64 59 342 8
si2_b03m_m400.04 4 59 10957 116 142
si2_b03m_m400.06 4 59 75 8 8
si2_b03m_m200.05 4 9 11 3 7
si2_b03m_m200.03 4 7 8 2 1
si2_b03m_m200.00 4 7 1 1 1
si2_b03m_m200.08 4 9 129 1 2
si2_b03m_m200.06 4 7 20 1 1
si2_b03m_m200.02 4 10 12 1 1
si2_b03m_m200.09 4 7 27 1 1
si2_b03m_m200.04 4 8 2774 9 4
si2_b03m_m200.01 4 11 9 11 3
si2_b03m_m200.07 4 8 8 1 1
si4_r001_m200.04 7 2151 1000000 1000000 1000000
si4_r001_m200.07 7 86906 9794 1000000 1000000
si4_r001_m200.00 7 30 260 1000000 1000000
si4_r001_m200.01 7 451 60888 753572 1000000
si4_r001_m200.03 7 955127 3693 1000000 1000000
si4_r001_m200.06 7 66 9901 49811 1000000
si4_r001_m200.05 7 1000000 1000000 1000000 1000000
si4_r001_m200.08 7 25 10399 1000000 1000000
si4_r001_m200.09 7 1000000 185197 1000000 146050
si4_r001_m200.02 7 3221 3876 1000000 1000000
si2_m4D_m256.08 5 17 145 203 198
si2_m4D_m256.03 5 8 142 244 357
si2_m4D_m256.02 5 16 193 237 12
si2_m4D_m256.06 5 16 134 262 451
si2_m4D_m256.04 5 14 21 23 192
si2_m4D_m256.07 5 25 153 223 13
si2_m4D_m256.01 5 8 117 228 320
si2_m4D_m256.09 5 20 22 765 1373
si2_m4D_m256.00 5 15 104 709 708
si2_m4D_m256.05 5 13 119 250 305
si6_r01_m400.04 7 221783 421212 349515 374616
si6_r01_m400.08 7 198736 42231 390846 348534
si6_r01_m400.07 7 141897 175267 819004 52961
si6_r01_m400.06 7 152059 75422 370987 114138
si6_r01_m400.05 7 599824 494510 261591 314473
si6_r01_m400.02 7 333353 229364 237363 484384
si6_r01_m400.00 7 508480 483339 708213 352750
si6_r01_m400.03 7 46943 83476 595872 394278
si6_r01_m400.01 7 143957 442209 52289 120258
si6_r01_m400.09 7 239828 209617 735873 631795
si2_m4Dr4_m625.07 6 1808 248 34302 9923
si2_m4Dr4_m625.02 6 249 31335 136356 11918
si2_m4Dr4_m625.03 6 350 250 1057 2375
si2_m4Dr4_m625.00 6 252 1917 282 490
si2_m4Dr4_m625.05 6 258 239 1283 12190
si2_m4Dr4_m625.06 6 680 1000000 1000000 1000000
si2_m4Dr4_m625.09 6 1000000 351852 1000000 1000000
si2_m4Dr4_m625.01 6 345 4994 1000000 26030
si2_m4Dr4_m625.08 6 1659 10437 624671 1000000
si2_m4Dr4_m625.04 6 1000000 2473 16125 2000
si4_r01_m400.01 7 129715 673895 194775 465081
si4_r01_m400.08 7 616121 1000000 1000000 333650
si4_r01_m400.02 7 1000000 180452 464238 437175
si4_r01_m400.03 7 536964 651535 538394 1000000
si4_r01_m400.07 7 1000000 412525 1000000 1000000
si4_r01_m400.06 7 136399 338838 1000000 433394
si4_r01_m400.04 7 1000000 541629 361232 779794
si4_r01_m400.00 7 1000000 687745 1000000 522138
si4_r01_m400.05 7 111063 355728 760287 315236
si4_r01_m400.09 7 308062 1000000 344280 189808
si2_b09m_m400.09 4 75 74 133327 1000000
si2_b09m_m400.03 4 81 135 302 30642
si2_b09m_m400.01 4 65 1000000 325630 301
si2_b09m_m400.08 4 63 1000000 1000000 1000000
si2_b09m_m400.05 4 68 531 5685 195
si2_b09m_m400.06 4 70 105 278 1000000
si2_b09m_m400.00 4 89 84 1466 951
si2_b09m_m400.02 4 83 523 1987 1000000
si2_b09m_m400.04 4 58 105 6620 1255
si2_b09m_m400.07 4 84 63 31707 1000000
si2_b09_m800.07 3 9 12 50 21
si2_b09_m800.04 3 12 19 36 194
si2_b09_m800.05 3 14 22 34 19
si2_b09_m800.00 3 10 21 10 26
si2_b09_m800.02 3 9 29 31 19
si2_b09_m800.01 3 9 21 27 33
si2_b09_m800.08 3 9 14 38 15
si2_b09_m800.09 3 10 31 12 62
si2_b09_m800.03 3 12 20 20 16
si2_b09_m800.06 3 10 27 12 12
si6_b03_m400.04 3 7 7 8 9
si6_b03_m400.09 3 5 6 8 14
si6_b03_m400.02 3 5 6 8 9
si6_b03_m400.06 3 7 6 7 9
si6_b03_m400.05 3 5 7 8 13
si6_b03_m400.08 3 5 6 8 8
si6_b03_m400.01 3 5 6 7 9
si6_b03_m400.07 3 5 7 9 8
si6_b03_m400.03 3 5 6 10 9
si6_b03_m400.00 3 5 7 8 13
si2_r005_m600.03 7 136331 102395 572010 1000000
si2_r005_m600.00 7 1000000 1000000 1000000 1000000
si2_r005_m600.06 7 1000000 1000000 1000000 572895
si2_r005_m600.01 7 1000000 1000000 1000000 1000000
si2_r005_m600.04 7 1000000 1000000 116295 1000000
si2_r005_m600.09 7 211263 442838 178146 1000000
si2_r005_m600.05 7 1000000 1000000 1000000 276393
si2_r005_m600.02 7 1000000 459301 1000000 1000000
si2_r005_m600.08 7 1000000 1000000 248126 1000000
si2_r005_m600.07 7 72864 1000000 1000000 565849
si4_r01_m600.05 7 1000001 1000000 1000000 1000000
si4_r01_m600.02 7 1000000 1000000 1000000 1000000
si4_r01_m600.03 7 1000000 1000000 1000000 1000000
