instance family
si6_b03_m800.07 3 302
si6_b03_m800.09 3 302
si6_b03_m800.08 3 302
si4_m4D_m1296.09 5 428
si4_m4D_m1296.06 5 425
si4_m4D_m1296.05 5 448
si4_m4D_m1296.00 5 1105
si4_m4D_m1296.03 5 8332
si4_m4D_m1296.04 5 442
si4_m4D_m1296.08 5 1000003
si4_m4D_m1296.02 5 1914
si4_m4D_m1296.01 5 466
si4_m4D_m1296.07 5 613
si6_b03m_m400.03 4 38
si6_b03m_m400.01 4 37
si6_b03m_m400.09 4 39
si6_b03m_m400.08 4 37
si6_b03m_m400.07 4 36
si6_b03m_m400.02 4 37
si6_b03m_m400.05 4 37
si6_b03m_m400.00 4 36
si6_b03m_m400.06 4 48
si6_b03m_m400.04 4 36
si4_m4D_m256.07 5 9
si4_m4D_m256.06 5 9
si4_m4D_m256.05 5 9
si4_m4D_m256.08 5 12
si4_m4D_m256.04 5 10
si4_m4D_m256.09 5 10
si4_m4D_m256.02 5 9
si4_m4D_m256.00 5 10
si4_m4D_m256.03 5 12
si4_m4D_m256.01 5 13
si6_b06m_m800.07 4 243
si6_b06m_m800.04 4 238
si6_b06m_m800.01 4 226
si6_b06m_m800.00 4 232
si6_b06m_m800.05 4 226
si6_b06m_m800.08 4 332
si6_b06m_m800.09 4 228
si6_b06m_m800.02 4 234
si6_b06m_m800.03 4 251
si6_b06m_m800.06 4 231
si4_r001_m400.08 7 1117
si4_r001_m400.06 7 37
si4_r001_m400.02 7 60
si4_r001_m400.00 7 79
si4_r001_m400.04 7 40
si4_r001_m400.03 7 64
si4_r001_m400.09 7 94
si4_r001_m400.05 7 1752
si4_r001_m400.01 7 62
si4_r001_m400.07 7 219
si2_m4Dr6_m1296.00 6 318
si2_m4Dr6_m1296.01 6 317
si2_m4Dr6_m1296.09 6 310
si2_m4Dr6_m1296.06 6 322
si2_m4Dr6_m1296.03 6 297
si2_m4Dr6_m1296.02 6 315
si2_m4Dr6_m1296.05 6 353
si2_m4Dr6_m1296.08 6 308
si2_m4Dr6_m1296.04 6 321
si2_m4Dr6_m1296.07 6 315
si2_b03_m800.07 3 90
si2_b03_m800.08 3 90
si2_b03_m800.04 3 90
si2_b03_m800.05 3 102
si2_b03_m800.09 3 90
si2_b03_m800.00 3 90
si2_b03_m800.02 3 129
