instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
E.03 1 989488 43310 989488 43849 990375 45172 990375 46290 990759 45602 990759 47039 991078 46297 991078 47534 991245 47439 991245 48429 991616 48340 991616 48900 992036 53372 992036 53384 992345 61946 992345 61946
F.19 1 988895 41052 988895 41216 990303 41137 990303 41670 990816 42197 990816 43040 991043 43473 991043 44099 991569 44638 991569 45019 991495 45559 991495 45770 992088 51043 992088 51048 992431 61356 992431 61356
A.12 1 986585 25914 984375 107442 988704 26500 988704 30579 989211 27832 989211 27929 989467 28516 989467 28516 989558 28734 989558 28734 989495 29094 989495 29094 989598 29151 989598 29151 989598 29151 989598 29151
B.08 1 995528 9116 994989 42868 996133 9205 996133 9682 996423 9451 996423 9460 996460 9807 996460 9807 996495 9975 996495 9975 996483 9952 996483 9952 996403 9918 996403 9918 996403 9918 996403 9918
F.17 1 989048 33115 989048 33177 990518 33399 990518 33735 990951 34381 990951 35044 991359 35190 991359 35903 991341 35687 991341 36296 991370 36681 991370 37071 991981 40393 991981 40400 992229 48496 992229 48496
C.04 1 997326 5659 997018 27561 997739 5646 997739 5831 997893 5840 997893 5840 997877 6066 997877 6066 997854 6036 997854 6036 997808 6092 997808 6092 997833 5884 997833 5884 997833 5884 997833 5884
B.19 1 995574 9483 994949 45649 996212 9311 996212 9798 996379 9648 996379 9648 996453 9930 996453 9930 996376 10025 996376 10025 996456 9814 996456 9814 996403 9948 996403 9948 996403 9948 996403 9948
C.16 1 997291 5798 996960 27941 997615 5675 997615 5904 997830 5837 997830 5841 997824 6200 997824 6200 997911 6104 997911 6104 997821 6006 997821 6006 997833 6074 997833 6074 997833 6074 997833 6074
C.17 1 997312 5725 997058 27446 997785 5597 997785 5866 997843 5828 997843 5828 997898 5934 997898 5934 997807 5945 997807 5945 997862 5938 997862 5938 997833 5985 997833 5985 997833 5985 997833 5985
E.08 1 990621 44297 990621 45616 990975 45061 990975 46917 991291 46048 991291 47758 991523 46971 991523 48195 991703 48522 991703 49291 991848 48954 991848 49347 992118 54090 992118 54097 992426 62305 992426 62305
F.13 1 990243 33455 990243 34102 990863 34781 990863 36006 991475 35135 991475 36756 991470 36135 991470 37538 991825 36304 991825 37388 991805 37046 991805 37653 992353 40501 992353 40518 992254 48317 992254 48317
A.20 1 986216 26892 983800 108944 988670 26937 988670 31585 989447 28097 989447 28276 989352 28747 989352 28747 989428 28853 989428 28853 989581 29124 989581 29124 989598 28875 989598 28875 989598 28875 989598 28875
E.02 1 990725 43694 990725 44806 991061 44745 991061 46301 991278 45795 991278 47486 991703 46570 991703 47760 991750 47339 991750 48046 991820 48275 991820 48669 992170 52690 992170 52694 992456 60769 992456 60769
E.16 1 990677 41909 990677 41919 991038 42700 991038 42730 991239 43661 991239 43694 991552 44569 991552 44610 991767 45248 991767 45268 991777 45824 991777 45838 991999 51460 991999 51460 992463 61314 992463 61314
B.12 1 995569 9359 995099 44351 996247 9246 996247 9845 996375 9476 996375 9489 996456 9893 996456 9893 996456 9865 996456 9865 996445 9883 996445 9883 996403 9837 996403 9837 996403 9837 996403 9837
F.09 1 989920 35334 989920 35376 990571 36190 990571 36311 991030 37061 991030 37267 991452 38032 991452 38285 991299 39029 991299 39273 991474 39812 991474 39965 991945 44333 991945 44341 992418 54467 992418 54467
A.10 1 987109 26529 984578 110911 988582 27040 988582 31957 989382 28183 989382 28240 989602 29377 989602 29377 989427 29353 989427 29353 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207
F.18 1 988957 32503 988957 32519 990045 33160 990045 33187 990758 34727 990758 34787 991229 35934 991229 36029 991355 37111 991355 37241 991517 37862 991517 37972 992065 42169 992065 42177 992316 50917 992316 50917
E.10 1 987979 33163 987979 33175 989949 34021 989949 34114 990674 35374 990674 35629 991038 36038 991038 36372 991454 37114 991454 37455 991640 37898 991640 38135 991875 42250 991875 42254 992297 51677 992297 51677
A.06 1 987192 26432 985037 115797 988931 27342 988931 31943 989398 28163 989398 28311 989597 28743 989597 28743 989348 28766 989348 28766 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859
