instance family
si2_r005_m400.02 7 456991
si2_r005_m400.03 7 12349
si2_r005_m400.00 7 5274
si2_r005_m400.07 7 37766
si2_r005_m400.09 7 7572
si2_r005_m400.04 7 16116
si2_r005_m400.01 7 5014
si2_b06m_m400.03 4 52
si2_b06m_m400.06 4 39
si2_b06m_m400.05 4 52
si2_b06m_m400.01 4 40
si2_b06m_m400.00 4 51
si2_b06m_m400.08 4 38
si2_b06m_m400.07 4 38
si2_b06m_m400.09 4 53
si2_b06m_m400.04 4 41
si2_b06m_m400.02 4 41
si6_r005_m600.02 7 103421
si6_r005_m600.08 7 48127
si6_r005_m600.03 7 122565
si6_r005_m600.05 7 188317
si6_r005_m600.07 7 64487
si6_r005_m600.04 7 132039
si6_r005_m600.06 7 177166
si6_r005_m600.01 7 37494
si6_r005_m600.09 7 281920
si6_r005_m600.00 7 47025
si6_r005_m200.02 7 68
si6_r005_m200.08 7 112
si6_r005_m200.09 7 103
si6_r005_m200.05 7 94
si6_r005_m200.03 7 83
si6_r005_m200.00 7 151
si6_r005_m200.04 7 102
si6_r005_m200.07 7 73
si6_r005_m200.01 7 119
si6_r005_m200.06 7 58
si2_m4Dr6_m625.06 6 122
si2_m4Dr6_m625.08 6 118
si2_m4Dr6_m625.07 6 137
si2_m4Dr6_m625.03 6 121
si2_m4Dr6_m625.04 6 115
si2_m4Dr6_m625.05 6 119
si2_m4Dr6_m625.09 6 126
si2_m4Dr6_m625.01 6 118
si2_m4Dr6_m625.02 6 134
si2_m4Dr6_m625.00 6 114
si6_b03_m800.02 3 733
si6_b03_m800.04 3 729
si6_b03_m800.03 3 783
si6_b03_m800.05 3 783
si6_b03_m800.06 3 730
si6_b03_m800.01 3 793
si6_b03_m800.00 3 731
si6_b03_m800.07 3 765
si6_b03_m800.09 3 730
si6_b03_m800.08 3 766
si4_m4D_m1296.09 5 943
si4_m4D_m1296.06 5 942
si4_m4D_m1296.05 5 949
si4_m4D_m1296.00 5 3951
si4_m4D_m1296.03 5 29020
si4_m4D_m1296.04 5 972
si4_m4D_m1296.08 5 1000004
si4_m4D_m1296.02 5 4245
si4_m4D_m1296.01 5 1007
si4_m4D_m1296.07 5 1003
si6_b03m_m400.03 4 70
si6_b03m_m400.01 4 70
si6_b03m_m400.09 4 70
si6_b03m_m400.08 4 95
si6_b03m_m400.07 4 92
si6_b03m_m400.02 4 67
si6_b03m_m400.05 4 68
si6_b03m_m400.00 4 67
si6_b03m_m400.06 4 67
si6_b03m_m400.04 4 68
si4_m4D_m256.07 5 17
si4_m4D_m256.06 5 17
si4_m4D_m256.05 5 24
si4_m4D_m256.08 5 24
si4_m4D_m256.04 5 18
si4_m4D_m256.09 5 26
si4_m4D_m256.02 5 18
si4_m4D_m256.00 5 19
si4_m4D_m256.03 5 22
si4_m4D_m256.01 5 23
si6_b06m_m800.07 4 437
si6_b06m_m800.04 4 430
si6_b06m_m800.01 4 412
si6_b06m_m800.00 4 427
si6_b06m_m800.05 4 419
si6_b06m_m800.08 4 430
si6_b06m_m800.09 4 430
si6_b06m_m800.02 4 438
si6_b06m_m800.03 4 415
si6_b06m_m800.06 4 429
si4_r001_m400.08 7 757
si4_r001_m400.06 7 75
si4_r001_m400.02 7 131
si4_r001_m400.00 7 126
si4_r001_m400.04 7 90
si4_r001_m400.03 7 119
si4_r001_m400.09 7 114
si4_r001_m400.05 7 890
si4_r001_m400.01 7 99
si4_r001_m400.07 7 220
si2_m4Dr6_m1296.00 6 837
si2_m4Dr6_m1296.01 6 795
si2_m4Dr6_m1296.09 6 777
si2_m4Dr6_m1296.06 6 778
si2_m4Dr6_m1296.03 6 752
si2_m4Dr6_m1296.02 6 801
si2_m4Dr6_m1296.05 6 822
si2_m4Dr6_m1296.08 6 769
si2_m4Dr6_m1296.04 6 847
si2_m4Dr6_m1296.07 6 821
si2_b03_m800.07 3 225
si2_b03_m800.08 3 225
si2_b03_m800.04 3 224
si2_b03_m800.05 3 309
si2_b03_m800.09 3 224
si2_b03_m800.00 3 225
si2_b03_m800.02 3 226
si2_b03_m800.03 3 243
si2_b03_m800.01 3 225
si2_b03_m800.06 3 261
si4_b03m_m200.05 4 9
si4_b03m_m200.02 4 9
si4_b03m_m200.04 4 9
si4_b03m_m200.07 4 9
si4_b03m_m200.00 4 13
si4_b03m_m200.06 4 9
si4_b03m_m200.03 4 10
si4_b03m_m200.09 4 9
si4_b03m_m200.08 4 9
si4_b03m_m200.01 4 12
si2_b06m_m200.04 4 8
si2_b06m_m200.03 4 8
si2_b06m_m200.08 4 8
si2_b06m_m200.06 4 8
si2_b06m_m200.05 4 7
si2_b06m_m200.02 4 8
si2_b06m_m200.00 4 11
si2_b06m_m200.01 4 8
si2_b06m_m200.09 4 8
si2_b06m_m200.07 4 8
si6_m4Dr4_m625.05 6 259
si6_m4Dr4_m625.09 6 250
si6_m4Dr4_m625.04 6 250
si6_m4Dr4_m625.00 6 297
si6_m4Dr4_m625.08 6 261
si6_m4Dr4_m625.06 6 242
si6_m4Dr4_m625.01 6 287
si6_m4Dr4_m625.03 6 314
si6_m4Dr4_m625.07 6 288
si6_m4Dr4_m625.02 6 270
si4_b03_m200.06 3 12
si4_b03_m200.02 3 12
si4_b03_m200.07 3 12
si4_b03_m200.04 3 12
si4_b03_m200.03 3 12
si4_b03_m200.05 3 12
si4_b03_m200.09 3 12
si4_b03_m200.01 3 16
si4_b03_m200.00 3 12
si4_b03_m200.08 3 16
si2_b03_m400.03 3 55
si2_b03_m400.06 3 40
si2_b03_m400.07 3 40
si2_b03_m400.01 3 39
si2_b03_m400.05 3 53
si2_b03_m400.09 3 39
si2_b03_m400.02 3 39
si2_b03_m400.00 3 48
si2_b03_m400.08 3 39
si2_b03_m400.04 3 39
