instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
C.09 1 997283 5581 997155 27125 997775 5418 997775 5655 997788 5847 997788 5849 997833 5928 997833 5928 997833 5928 997833 5928 997833 5928 997833 5928 997833 5928 997833 5928 997833 5928 997833 5928
B.17 1 995659 9079 995480 42353 996402 9351 996402 9965 996550 9659 996550 9670 996403 9850 996403 9850 996403 9850 996403 9850 996403 9850 996403 9850 996403 9850 996403 9850 996403 9850 996403 9850
C.07 1 997369 5648 997228 27633 997797 5708 997797 5965 997882 5982 997882 5985 997833 6004 997833 6004 997833 6004 997833 6004 997833 6004 997833 6004 997833 6004 997833 6004 997833 6004 997833 6004
E.09 1 989963 39914 989963 39932 990584 41614 990584 41676 991071 42807 991071 42927 991282 43899 991282 44047 991442 44846 991442 45006 991693 45788 991693 45903 992122 50465 992122 50472 992374 58958 992374 58958
E.17 1 990705 46953 990705 47547 991376 47172 991376 48367 991689 47563 991689 48704 991743 48788 991743 49589 991824 49876 991824 50304 991789 50951 991789 51158 992112 55789 992112 55789 992626 65639 992626 65639
C.11 1 997358 5832 997285 27358 997731 5549 997731 5754 997879 5964 997879 5968 997833 5913 997833 5913 997833 5913 997833 5913 997833 5913 997833 5913 997833 5913 997833 5913 997833 5913 997833 5913
F.10 1 989339 40595 989339 40599 990245 41850 990245 41866 990716 43661 990716 43694 990895 44411 990895 44484 991301 45281 991301 45340 991447 46409 991447 46452 991627 50682 991627 50682 992290 59648 992290 59648
A.17 1 987056 27683 985391 114187 989027 26947 989027 32057 989220 28208 989220 28432 989598 28879 989598 28879 989598 28879 989598 28879 989598 28879 989598 28879 989598 28879 989598 28879 989598 28879 989598 28879
B.15 1 995533 9405 995327 43257 996269 9326 996269 9955 996505 9521 996505 9525 996403 9910 996403 9910 996403 9910 996403 9910 996403 9910 996403 9910 996403 9910 996403 9910 996403 9910 996403 9910
E.03 1 989488 43310 989488 43849 990246 45150 990246 46501 991002 46862 991002 48793 991187 47620 991187 49443 991405 48387 991405 49831 991682 49121 991682 50046 991958 54002 991958 54018 992407 62052 992407 62052
F.19 1 988895 41052 988895 41216 990333 41540 990333 42207 990996 42840 990996 43868 991286 44100 991286 44887 991540 45779 991540 46298 991426 46456 991426 46743 992013 50966 992013 50978 992490 61790 992490 61790
A.12 1 986585 25914 985515 106221 989025 26647 989025 31212 989526 28236 989526 28342 989598 29151 989598 29151 989598 29151 989598 29151 989598 29151 989598 29151 989598 29151 989598 29151 989598 29151 989598 29151
B.08 1 995528 9116 995017 42346 996320 9049 996320 9625 996568 9652 996568 9667 996403 9918 996403 9918 996403 9918 996403 9918 996403 9918 996403 9918 996403 9918 996403 9918 996403 9918 996403 9918
F.17 1 989048 33115 989048 33177 990543 34006 990543 34337 990926 35010 990926 35783 991419 36056 991419 36980 991399 36703 991399 37483 991668 36775 991668 37284 992104 40599 992104 40610 992157 48277 992157 48277
C.04 1 997326 5659 997239 27854 997809 5566 997809 5816 997832 5853 997832 5853 997833 5884 997833 5884 997833 5884 997833 5884 997833 5884 997833 5884 997833 5884 997833 5884 997833 5884 997833 5884
B.19 1 995574 9483 995284 44619 996306 9401 996306 9851 996516 9870 996516 9870 996403 9948 996403 9948 996403 9948 996403 9948 996403 9948 996403 9948 996403 9948 996403 9948 996403 9948 996403 9948
C.16 1 997291 5798 997069 27482 997886 5509 997886 5725 997916 5872 997916 5874 997833 6074 997833 6074 997833 6074 997833 6074 997833 6074 997833 6074 997833 6074 997833 6074 997833 6074 997833 6074
C.17 1 997312 5725 997099 27274 997878 5512 997878 5820 997853 6006 997853 6006 997833 5985 997833 5985 997833 5985 997833 5985 997833 5985 997833 5985 997833 5985 997833 5985 997833 5985 997833 5985
E.08 1 990621 44297 990621 45616 991104 45990 991104 48111 991406 46753 991406 48649 991679 47926 991679 49511 991721 48438 991721 49390 991955 49476 991955 49981 992372 54871 992372 54883 992527 62548 992527 62548
F.13 1 990243 33455 990243 34102 991115 34861 991115 36233 991414 35313 991414 37125 991610 36158 991610 37843 991772 36718 991772 37975 991943 37447 991943 38181 992179 41040 992179 41060 992366 48675 992366 48675
A.20 1 986216 26892 985016 110350 989027 26544 989027 31660 989239 28378 989239 28622 989598 28875 989598 28875 989598 28875 989598 28875 989598 28875 989598 28875 989598 28875 989598 28875 989598 28875 989598 28875
E.02 1 990725 43694 990725 44806 991045 45288 991045 47021 991469 46329 991469 48254 991618 46710 991618 48122 991767 47698 991767 48591 991929 48534 991929 49054 992099 53746 992099 53752 992432 61013 992432 61013
E.16 1 990677 41909 990677 41919 991248 42820 991248 42852 991365 44251 991365 44301 991788 44936 991788 44986 991627 46128 991627 46156 991876 46762 991876 46776 992223 51892 992223 51892 992437 61513 992437 61513
B.12 1 995569 9359 995284 44183 996414 9336 996414 9994 996453 9677 996453 9685 996403 9837 996403 9837 996403 9837 996403 9837 996403 9837 996403 9837 996403 9837 996403 9837 996403 9837 996403 9837
F.09 1 989920 35334 989920 35376 990625 36729 990625 36860 991296 37328 991296 37550 991508 38436 991508 38778 991729 39446 991729 39723 991693 40367 991693 40560 992014 44742 992014 44747 992384 54253 992384 54253
A.10 1 987109 26529 985617 111565 989183 26700 989183 31954 989243 28175 989243 28237 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207 989598 29207
F.18 1 988957 32503 988957 32519 990275 33835 990275 33875 990948 35247 990948 35349 991352 36531 991352 36698 991474 37621 991474 37787 991604 38240 991604 38403 991921 42555 991921 42582 992398 50898 992398 50898
E.10 1 987979 33163 987979 33175 989996 34122 989996 34235 990742 35551 990742 35861 991369 36604 991369 37054 991464 37419 991464 37830 991653 38459 991653 38770 992023 42555 992023 42564 992324 51521 992324 51521
A.06 1 987192 26432 986230 111275 988957 26768 988957 31563 989555 28211 989555 28344 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859 989598 28859
E.15 1 990028 44647 990028 45007 990658 46277 990658 46915 990967 47409 990967 48274 991344 48362 991344 49034 991525 49677 991525 50188 991648 50164 991648 50528 992171 54728 992171 54735 992381 64015 992381 64015
E.07 1 989758 47492 989758 48648 990549 49476 990549 51846 991117 50703 991117 53525 991389 52437 991389 54759 991528 52701 991528 54363 991626 53845 991626 54870 992076 59506 992076 59533 992324 67888 992324 67888
E.11 1 990653 52352 990653 55125 991164 53445 991164 56904 991314 54743 991314 57360 991606 55554 991606 57106 991495 57034 991495 57943 991968 58285 991968 58689 992123 63603 992123 63603 992511 74355 992511 74355
B.03 1 995604 9200 995426 44107 996286 9216 996286 9791 996431 9553 996431 9555 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768
B.18 1 995515 9201 995195 42139 996226 9179 996226 9734 996529 9567 996529 9567 996403 9949 996403 9949 996403 9949 996403 9949 996403 9949 996403 9949 996403 9949 996403 9949 996403 9949 996403 9949
C.03 1 997338 5733 997120 26937 997820 5635 997820 5879 997778 5880 997778 5883 997833 6038 997833 6038 997833 6038 997833 6038 997833 6038 997833 6038 997833 6038 997833 6038 997833 6038 997833 6038
A.18 1 987136 27449 985492 118061 989244 27376 989244 33355 989214 28656 989214 28727 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515
F.15 1 988251 36337 988251 36645 990120 38736 990120 39934 990931 40108 990931 42294 991321 41604 991321 43683 991542 42432 991542 43721 991833 43282 991833 43991 992209 47701 992209 47723 992309 56427 992309 56427
A.19 1 987212 27015 986317 111632 989101 26273 989101 30825 989297 27388 989297 27414 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002
C.12 1 997332 5416 997037 26371 997817 5707 997817 5949 997823 5947 997823 5947 997833 5969 997833 5969 997833 5969 997833 5969 997833 5969 997833 5969 997833 5969 997833 5969 997833 5969 997833 5969
B.05 1 995385 9353 995153 44074 996378 9211 996378 9967 996427 9629 996427 9643 996403 10186 996403 10186 996403 10186 996403 10186 996403 10186 996403 10186 996403 10186 996403 10186 996403 10186 996403 10186
A.13 1 986617 26851 985795 111026 989306 26870 989196 30394 989387 28184 989387 28322 989598 28935 989598 28935 989598 28935 989598 28935 989598 28935 989598 28935 989598 28935 989598 28935 989598 28935 989598 28935
A.05 1 986551 25939 985730 107335 988826 26230 988826 30614 989422 28235 989422 28297 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159
F.01 1 987811 37364 987811 37594 989965 39604 989965 40485 990983 41470 990983 42996 991380 42460 991380 44021 991658 43416 991658 44579 991869 44394 991869 45060 991942 48456 991942 48478 992366 55921 992366 55921
E.20 1 989771 43317 989771 43787 990310 45206 990310 46252 990962 47270 990962 48592 991173 48251 991173 49515 991376 49105 991376 50130 991572 50303 991572 50931 992076 55051 992076 55065 992283 63799 992283 63799
B.13 1 995463 9368 995195 43563 996234 9234 996234 9815 996469 9793 996469 9793 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943
A.14 1 987521 26542 986103 117938 989112 27004 989112 31740 989533 28540 989533 28657 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827
B.04 1 995711 9248 995288 43424 996305 9191 996305 9741 996313 9763 996313 9768 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943 996403 9943
C.13 1 997320 5665 997159 27359 997771 5598 997771 5864 997757 5750 997757 5755 997833 5939 997833 5939 997833 5939 997833 5939 997833 5939 997833 5939 997833 5939 997833 5939 997833 5939 997833 5939
F.07 1 988862 37582 988862 37661 990360 39497 990360 39693 990927 41292 990927 41765 991392 42672 991392 43330 991815 43558 991815 44176 991812 44464 991812 44916 992194 49373 992194 49392 992568 59212 992568 59212
E.13 1 990121 39141 990121 39340 990619 40630 990619 41137 991023 41879 991023 42473 991330 43186 991330 43791 991507 43821 991507 44287 991584 44993 991584 45277 991913 48724 991913 48732 992309 55948 992309 55948
E.14 1 990745 45841 990745 47918 991380 46983 991380 50047 991454 47940 991454 50827 991726 48909 991726 50954 991822 49756 991822 50967 991779 50484 991779 51129 992362 55257 992362 55273 992523 63487 992523 63487
A.11 1 986658 26814 985499 112190 989284 26542 989074 30967 989459 28658 989459 28848 989598 29089 989598 29089 989598 29089 989598 29089 989598 29089 989598 29089 989598 29089 989598 29089 989598 29089 989598 29089
si6_r005_m400.07 7 993261 86517 993261 208625 993380 86821 993380 156393 993291 87036 993291 120020 993358 87072 993358 100026 993271 87511 993271 91936 993483 87730 993483 89135 993341 87118 993341 87120 993159 87559 993159 87559
si6_r005_m400.00 7 993350 86015 993350 208319 993341 86117 993341 154846 993361 85769 993361 118230 993374 85963 993374 98751 993316 86939 993316 91353 993372 87033 993372 88371 993370 86521 993370 86521 993159 87297 993159 87297
si6_r005_m400.01 7 993323 87506 993323 209397 993294 87054 993294 157014 993334 87761 993334 120812 993424 87526 993424 100946 993294 88119 993294 92778 993369 88331 993369 89888 993394 88072 993394 88074 993159 87139 993159 87139
si6_r005_m400.02 7 993368 87524 993368 215558 993275 88303 993275 162458 993341 88853 993341 124992 993472 89179 993472 104230 993153 88631 993153 93927 993356 88931 993356 90596 993385 88846 993385 88855 993159 89672 993159 89672
si6_r005_m400.04 7 993461 86077 993461 203788 993398 86041 993398 151344 993221 86597 993221 115878 993289 86351 993289 97458 993437 86667 993437 90372 993378 87086 993378 88278 993404 86983 993404 86983 993159 86841 993159 86841
si6_r005_m400.05 7 993312 84684 993312 201304 993457 85059 993457 148552 993378 85304 993378 113726 993350 85427 993350 96152 993365 85577 993365 89162 993261 85668 993261 86703 993359 85344 993359 85344 993159 85597 993159 85597
si6_r005_m400.09 7 993502 87190 993502 210805 993507 87704 993507 159403 993228 87981 993228 122703 993269 87554 993269 102039 993352 87982 993352 93317 993408 88585 993408 90253 993319 88523 993319 88523 993159 88539 993159 88539
si6_r005_m400.03 7 993267 86768 993267 208413 993257 86381 993257 154051 993285 86876 993285 118999 993282 87142 993282 99808 993248 87131 993248 91480 993238 87209 993238 88437 993454 87665 993454 87665 993159 87013 993159 87013
si6_r005_m400.06 7 993358 88739 993358 214002 993331 88594 993331 162194 993366 88678 993366 125194 993350 89410 993350 104925 993442 89104 993442 94885 993344 88917 993344 90828 993519 89255 993519 89255 993159 89060 993159 89060
si6_r005_m400.08 7 993186 87205 993186 209927 993346 87960 993346 159287 993266 87661 993266 122592 993448 88244 993448 103188 993260 88222 993260 93494 993291 88489 993291 90177 993306 88346 993306 88346 993159 88475 993159 88475
si6_m4Dr6_m625.04 6 994366 10929 994038 44713 995387 11461 995387 22436 995647 12351 995647 12485 995603 13082 995603 13082 995754 13456 995754 13456 995741 13628 995741 13628 995713 13604 995713 13604 995713 13604 995713 13604
si6_m4Dr6_m625.01 6 993941 11585 993537 47123 995272 12092 995272 24822 995645 13265 995645 13441 995711 13831 995711 13836 995654 14440 995654 14440 995667 14925 995667 14925 995713 14746 995713 14746 995713 14746 995713 14746
si6_m4Dr6_m625.09 6 994411 11206 994145 44934 995440 11909 995440 22652 995564 12516 995564 12686 995784 13232 995784 13233 995736 13460 995736 13460 995638 13561 995638 13561 995713 13624 995713 13624 995713 13624 995713 13624
si6_m4Dr6_m625.07 6 994093 10779 993825 44971 995331 11532 995331 22538 995593 12364 995593 12641 995575 13181 995575 13181 995699 13651 995699 13651 995745 13888 995745 13888 995713 13998 995713 13998 995713 13998 995713 13998
si6_m4Dr6_m625.00 6 994275 11527 994063 45900 995446 11603 995446 22566 995568 12300 995568 12416 995683 13134 995683 13134 995682 13610 995682 13610 995754 13449 995754 13449 995713 13772 995713 13772 995713 13772 995713 13772
si6_m4Dr6_m625.08 6 994626 10041 994561 41823 995522 10545 995522 18884 995652 11279 995652 11404 995693 11982 995693 11993 995614 12150 995614 12150 995683 12546 995683 12546 995713 12530 995713 12530 995713 12530 995713 12530
si6_m4Dr6_m625.05 6 993979 10959 993786 44560 995363 11347 995363 21901 995647 12428 995647 12571 995758 13346 995758 13346 995735 13908 995735 13908 995815 13868 995815 13868 995713 14109 995713 14109 995713 14109 995713 14109
si6_m4Dr6_m625.06 6 993937 11801 993707 46835 995256 11677 995256 21960 995556 12404 995556 12511 995609 13187 995609 13187 995792 13724 995792 13724 995644 13903 995644 13903 995780 14204 995780 14204 995713 14224 995713 14224
si6_m4Dr6_m625.02 6 994434 11216 994152 45034 995445 11282 995445 21389 995725 12129 995725 12247 995791 12713 995791 12713 995686 12954 995686 12954 995733 13369 995733 13369 995713 13240 995713 13240 995713 13240 995713 13240
si6_m4Dr6_m625.03 6 993922 11195 993522 45684 995447 11460 995447 21862 995695 12317 995695 12460 995667 13106 995667 13106 995666 13584 995666 13584 995729 13808 995729 13808 995713 13937 995713 13937 995713 13937 995713 13937
