instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
si6_r01_m200.00 7 2316 7288 35749 2301 22594 3970 31269 9744
si6_r01_m200.01 7 33378 4492 3713 10552 6578 5477 29356 33802
si6_r01_m200.03 7 6552 5731 42708 3632 12622 4806 18114 65578
si6_r01_m200.05 7 8451 3875 4373 54464 11134 3217 29266 98889
si6_r01_m200.06 7 6716 4798 2553 7797 3512 13427 5025 3727
si2_b03m_m800.03 4 85 10345 1000001 475 497 4510 323 270
si2_b03m_m800.02 4 90 200 135502 143 920 502 1035 1000002
si2_b03m_m800.09 4 92 1000001 1000000 1000001 218 442 148 262
si2_b03m_m800.04 4 94 116 1000001 383 1000001 1312 2511 31187
si2_b03m_m800.06 4 82 623 1000001 1000001 235 1000000 570 141
si2_b03m_m800.05 4 124 1000001 1000001 1000001 1000001 19227 606 1088
si2_b03m_m800.01 4 85 184 279 1000001 1000001 1616 1000001 154203
si2_b03m_m800.08 4 87 368 734 1005 1963 1377 159 183
si2_b03m_m800.07 4 83 1000001 1000001 1000001 727 1211 1000001 165
si2_b03m_m800.00 4 81 1000001 1000001 3490 545 1000001 623 167
si2_r001_m200.06 7 9387 7 175 45 13 10 6 5
si2_r001_m200.01 7 7 41 9 7 6 8 7 5
si2_r001_m200.02 7 8 184 9 8 8 6 5 5
si2_r001_m200.07 7 5 303254 22 119 9 7 6 6
si2_r001_m200.04 7 6 611940 41 8 6 6 7 5
si2_r001_m200.05 7 43 5 8 8 5 5 7 5
si2_r001_m200.09 7 5 7 12 7 6 5 5 5
si2_r001_m200.03 7 5 422 10 7 8 9 5 5
si2_r001_m200.00 7 5 7 9 7 5 5 5 5
si2_r001_m200.08 7 9 6 1560 7 8 7 5 6
si6_b03m_m800.01 4 264 474 564 1000002 1000002 1000002 1000003 20183
si6_b03m_m800.08 4 247 501 472 746 38552 559 1000002 1000004
si6_b03m_m800.03 4 248 548 538 2281 694 75441 1000004 3391
si6_b03m_m800.00 4 250 476 483 558 626 792 1000003 1927
si6_b03m_m800.04 4 248 399 434 820032 492 702 1000002 1935
si6_b03m_m800.05 4 254 458 663 9753 217328 1000002 1000003 1000003
si6_b03m_m800.07 4 274 402 585 578 945 852 102133 5336
si6_b03m_m800.06 4 263 407 432 526 24661 144320 1000004 1000003
si6_b03m_m800.09 4 373 604 917 663 652 1000003 1000004 971205
si6_b03m_m800.02 4 246 435 84882 1000003 1000003 1000003 1000003 2115
si4_r005_m200.00 7 811 950 20938 1318 3530 585 26795 1000000
si4_r005_m200.08 7 140 2043 645 839 3969 5159 159670 609532
si4_r005_m200.02 7 158 3518 1489 411 657 6324 1000000 1000000
si4_r005_m200.05 7 198 266 538 342 23218 257 6112 1000000
si4_r005_m200.06 7 133 98 549 1052 570 6824 582436 1000000
si4_r005_m200.04 7 1810 908 194 3702 8307 15849 90796 4252
si4_r005_m200.07 7 466 522 9463 554 1230 2187 1151 1000000
si4_r005_m200.09 7 487 1497 424 1493 3354 89927 423013 1000000
si4_r005_m200.01 7 340 1106 1427 1089 14673 5357 799431 1000000
si4_r005_m200.03 7 354 490 29355 33170 11259 19689 8138 1000000
si6_b09m_m400.03 4 67 87 69 94 184 167 379 2525
si6_b09m_m400.07 4 55 62 89 103 79 676 373 76883
si6_b09m_m400.00 4 74 68 81 185 89 256 1694 726
si6_b09m_m400.04 4 55 76 68 81 236 932 7608 1478
si6_b09m_m400.06 4 55 69 72 237 105 393 626 2321
si6_b09m_m400.08 4 53 61 85 123 78 109 348 1785
si6_b09m_m400.02 4 54 64 94 131 104 321 3825 9400
si6_b09m_m400.05 4 53 64 89 172 2344 347 454 1461
si6_b09m_m400.09 4 55 64 98 79 92 761 399 1996
si6_b09m_m400.01 4 55 66 77 125 120 1570 6422 2896
si2_b09_m200.08 3 6 6 6 7 7 9 6 6
si2_b09_m200.01 3 6 6 8 15 7 9 6 6
si2_b09_m200.06 3 6 6 9 6 7 7 8 9
si2_b09_m200.05 3 6 7 6 6 8 6 8 6
