instance family
si6_b09_m800.09 3 563
si6_b09_m800.07 3 562
si6_b09_m800.05 3 563
si6_b09_m800.04 3 564
si6_b09_m800.01 3 563
si6_b09_m800.00 3 618
si6_b09_m800.02 3 564
si6_b09_m800.06 3 563
si6_b09_m800.08 3 633
si6_b06m_m400.00 4 79
si6_b06m_m400.08 4 77
si6_b06m_m400.03 4 77
si6_b06m_m400.04 4 92
si6_b06m_m400.06 4 76
si6_b06m_m400.07 4 76
si6_b06m_m400.09 4 95
si6_b06m_m400.02 4 76
si6_b06m_m400.01 4 76
si6_b06m_m400.05 4 78
si2_m4Dr4_m1296.08 6 797
si2_m4Dr4_m1296.07 6 943
si2_m4Dr4_m1296.03 6 941
si2_m4Dr4_m1296.05 6 766
si2_m4Dr4_m1296.06 6 756
si2_m4Dr4_m1296.04 6 747
si2_m4Dr4_m1296.09 6 855
si2_m4Dr4_m1296.01 6 780
si2_m4Dr4_m1296.00 6 762
si2_m4Dr4_m1296.02 6 820
si6_m4Dr6_m1296.02 6 1774
si6_m4Dr6_m1296.08 6 1729
si6_m4Dr6_m1296.07 6 1713
si6_m4Dr6_m1296.06 6 1733
si6_m4Dr6_m1296.03 6 1767
si6_m4Dr6_m1296.04 6 1796
si6_m4Dr6_m1296.05 6 1753
si6_m4Dr6_m1296.00 6 1727
si6_m4Dr6_m1296.09 6 1781
si6_m4Dr6_m1296.01 6 1788
si4_m4Dr2_m256.00 6 19
si4_m4Dr2_m256.01 6 24
si4_m4Dr2_m256.05 6 18
si4_m4Dr2_m256.04 6 26
si4_m4Dr2_m256.08 6 19
si4_m4Dr2_m256.07 6 19
si4_m4Dr2_m256.06 6 19
si4_m4Dr2_m256.02 6 19
si4_m4Dr2_m256.09 6 18
si4_m4Dr2_m256.03 6 19
si4_b09m_m200.01 4 14
si4_b09m_m200.00 4 14
si4_b09m_m200.03 4 14
si4_b09m_m200.06 4 14
si4_b09m_m200.02 4 14
si4_b09m_m200.04 4 20
si4_b09m_m200.05 4 14
si4_b09m_m200.07 4 14
si4_b09m_m200.08 4 14
