instance family
si4_b03m_m200.02 4 9
si4_b03m_m200.04 4 9
si4_b03m_m200.07 4 9
si4_b03m_m200.00 4 13
si4_b03m_m200.06 4 13
si4_b03m_m200.03 4 9
si4_b03m_m200.09 4 9
si4_b03m_m200.08 4 12
si4_b03m_m200.01 4 9
si2_b06m_m200.04 4 8
si2_b06m_m200.03 4 10
si2_b06m_m200.08 4 10
si2_b06m_m200.06 4 11
si2_b06m_m200.05 4 11
si2_b06m_m200.02 4 11
si2_b06m_m200.00 4 11
si2_b06m_m200.01 4 8
si2_b06m_m200.09 4 8
si2_b06m_m200.07 4 10
si6_m4Dr4_m625.05 6 266
si6_m4Dr4_m625.09 6 252
si6_m4Dr4_m625.04 6 232
si6_m4Dr4_m625.00 6 358
si6_m4Dr4_m625.08 6 233
si6_m4Dr4_m625.06 6 227
si6_m4Dr4_m625.01 6 241
si6_m4Dr4_m625.03 6 242
si6_m4Dr4_m625.07 6 336
si6_m4Dr4_m625.02 6 281
si4_b03_m200.06 3 11
si4_b03_m200.02 3 10
si4_b03_m200.07 3 10
si4_b03_m200.04 3 15
si4_b03_m200.03 3 10
si4_b03_m200.05 3 10
si4_b03_m200.09 3 14
si4_b03_m200.01 3 10
si4_b03_m200.00 3 15
si4_b03_m200.08 3 15
si2_b03_m400.03 3 36
si2_b03_m400.06 3 36
si2_b03_m400.07 3 36
si2_b03_m400.01 3 36
si2_b03_m400.05 3 37
si2_b03_m400.09 3 37
si2_b03_m400.02 3 36
si2_b03_m400.00 3 36
si2_b03_m400.08 3 37
si2_b03_m400.04 3 36
si4_b09_m200.02 3 13
si4_b09_m200.01 3 18
si4_b09_m200.00 3 13
si4_b09_m200.09 3 13
si4_b09_m200.08 3 17
si4_b09_m200.04 3 19
si4_b09_m200.06 3 18
si4_b09_m200.05 3 13
si4_b09_m200.07 3 13
