instance family
si4_b06_m200.05 3 8
si4_b06_m200.08 3 8
si4_b06_m200.00 3 8
si4_b06_m200.04 3 8
si4_b06_m200.01 3 8
si4_b06_m200.09 3 8
si4_r005_m400.06 7 20614
si4_r005_m400.03 7 2404
si4_r005_m400.07 7 21899
si4_r005_m400.01 7 5241
si4_r005_m400.04 7 11677
si4_r005_m400.00 7 13001
si4_r005_m400.09 7 4706
si4_r005_m400.05 7 4429
si4_r005_m400.08 7 3255
si4_r005_m400.02 7 6694
si4_m4Dr2_m1296.07 6 606
si4_m4Dr2_m1296.00 6 601
si4_m4Dr2_m1296.05 6 659
si4_m4Dr2_m1296.04 6 649
si4_m4Dr2_m1296.08 6 831
si4_m4Dr2_m1296.01 6 602
si4_m4Dr2_m1296.06 6 647
si4_m4Dr2_m1296.02 6 623
si4_m4Dr2_m1296.03 6 704
si4_m4Dr2_m1296.09 6 658
si6_b09_m800.03 3 357
si6_b09_m800.09 3 357
si6_b09_m800.07 3 376
si6_b09_m800.05 3 384
si6_b09_m800.04 3 357
si6_b09_m800.01 3 358
si6_b09_m800.00 3 357
si6_b09_m800.02 3 357
si6_b09_m800.06 3 375
si6_b09_m800.08 3 357
si6_b06m_m400.00 4 61
si6_b06m_m400.08 4 47
si6_b06m_m400.03 4 65
si6_b06m_m400.04 4 57
si6_b06m_m400.06 4 46
si6_b06m_m400.07 4 59
si6_b06m_m400.09 4 63
si6_b06m_m400.02 4 46
si6_b06m_m400.01 4 46
si6_b06m_m400.05 4 47
si2_m4Dr4_m1296.08 6 352
si2_m4Dr4_m1296.07 6 349
si2_m4Dr4_m1296.03 6 386
si2_m4Dr4_m1296.05 6 337
si2_m4Dr4_m1296.06 6 325
si2_m4Dr4_m1296.04 6 324
si2_m4Dr4_m1296.09 6 339
si2_m4Dr4_m1296.01 6 349
si2_m4Dr4_m1296.00 6 347
si2_m4Dr4_m1296.02 6 360
si6_m4Dr6_m1296.02 6 1078
si6_m4Dr6_m1296.08 6 1063
si6_m4Dr6_m1296.07 6 1073
si6_m4Dr6_m1296.06 6 1028
si6_m4Dr6_m1296.03 6 1072
si6_m4Dr6_m1296.04 6 1093
si6_m4Dr6_m1296.05 6 1057
si6_m4Dr6_m1296.00 6 1062
si6_m4Dr6_m1296.09 6 1003
si6_m4Dr6_m1296.01 6 1012
si4_m4Dr2_m256.00 6 11
si4_m4Dr2_m256.01 6 10
si4_m4Dr2_m256.05 6 10
si4_m4Dr2_m256.04 6 11
si4_m4Dr2_m256.08 6 11
si4_m4Dr2_m256.07 6 13
si4_m4Dr2_m256.06 6 10
si4_m4Dr2_m256.02 6 10
si4_m4Dr2_m256.09 6 13
si4_m4Dr2_m256.03 6 11
si4_b09m_m200.01 4 9
si4_b09m_m200.00 4 10
si4_b09m_m200.03 4 9
si4_b09m_m200.06 4 9
si4_b09m_m200.02 4 9
si4_b09m_m200.04 4 9
si4_b09m_m200.05 4 9
si4_b09m_m200.07 4 9
si4_b09m_m200.08 4 9
si4_b09m_m200.09 4 9
si4_m4Dr4_m625.07 6 104
si4_m4Dr4_m625.05 6 97
si4_m4Dr4_m625.01 6 97
si4_m4Dr4_m625.08 6 104
si4_m4Dr4_m625.09 6 101
si4_m4Dr4_m625.00 6 117
si4_m4Dr4_m625.04 6 100
si4_m4Dr4_m625.06 6 128
si4_m4Dr4_m625.03 6 121
si4_m4Dr4_m625.02 6 136
si4_m4Dr4_m1296.03 6 672
si4_m4Dr4_m1296.01 6 725
si4_m4Dr4_m1296.00 6 646
si4_m4Dr4_m1296.07 6 629
si4_m4Dr4_m1296.02 6 664
si4_m4Dr4_m1296.04 6 661
si4_m4Dr4_m1296.09 6 685
si4_m4Dr4_m1296.06 6 725
si4_m4Dr4_m1296.08 6 641
si4_m4Dr4_m1296.05 6 748
si2_r005_m400.05 7 6764
si2_r005_m400.06 7 1801
si2_r005_m400.08 7 7151
si2_r005_m400.02 7 1000000
si2_r005_m400.03 7 30967
si2_r005_m400.00 7 7541
si2_r005_m400.07 7 211004
si2_r005_m400.09 7 8194
si2_r005_m400.04 7 31323
si2_r005_m400.01 7 3908
si2_b06m_m400.03 4 19
si2_b06m_m400.06 4 26
si2_b06m_m400.05 4 19
si2_b06m_m400.01 4 20
si2_b06m_m400.00 4 27
si2_b06m_m400.08 4 19
si2_b06m_m400.07 4 19
si2_b06m_m400.09 4 19
si2_b06m_m400.04 4 20
si2_b06m_m400.02 4 19
si6_r005_m600.02 7 71210
si6_r005_m600.08 7 36490
si6_r005_m600.03 7 100770
si6_r005_m600.05 7 153788
si6_r005_m600.07 7 48733
si6_r005_m600.04 7 75028
si6_r005_m600.06 7 135086
si6_r005_m600.01 7 14942
si6_r005_m600.09 7 201264
si6_r005_m600.00 7 26598
si6_r005_m200.02 7 60
si6_r005_m200.08 7 148
si6_r005_m200.09 7 105
si6_r005_m200.05 7 75
si6_r005_m200.03 7 65
si6_r005_m200.00 7 123
si6_r005_m200.04 7 63
si6_r005_m200.07 7 65
si6_r005_m200.01 7 101
si6_r005_m200.06 7 65
si2_m4Dr6_m625.06 6 72
si2_m4Dr6_m625.08 6 53
si2_m4Dr6_m625.07 6 53
si2_m4Dr6_m625.03 6 54
si2_m4Dr6_m625.04 6 51
si2_m4Dr6_m625.05 6 53
si2_m4Dr6_m625.09 6 55
si2_m4Dr6_m625.01 6 77
si2_m4Dr6_m625.02 6 62
si2_m4Dr6_m625.00 6 52
si6_b03_m800.02 3 337
si6_b03_m800.04 3 337
si6_b03_m800.03 3 337
si6_b03_m800.05 3 337
si6_b03_m800.06 3 337
si6_b03_m800.01 3 337
si6_b03_m800.00 3 357
si6_b03_m800.07 3 356
si6_b03_m800.09 3 337
si6_b03_m800.08 3 337
si4_m4D_m1296.09 5 466
si4_m4D_m1296.06 5 468
si4_m4D_m1296.05 5 491
si4_m4D_m1296.00 5 837
si4_m4D_m1296.03 5 1906
si4_m4D_m1296.04 5 485
si4_m4D_m1296.08 5 1000002
si4_m4D_m1296.02 5 1157
si4_m4D_m1296.01 5 467
si4_m4D_m1296.07 5 471
si6_b03m_m400.03 4 57
si6_b03m_m400.01 4 42
si6_b03m_m400.09 4 43
si6_b03m_m400.08 4 57
si6_b03m_m400.07 4 41
si6_b03m_m400.02 4 50
si6_b03m_m400.05 4 42
si6_b03m_m400.00 4 41
si6_b03m_m400.06 4 41
si6_b03m_m400.04 4 42
si4_m4D_m256.07 5 10
si4_m4D_m256.06 5 10
si4_m4D_m256.05 5 10
si4_m4D_m256.08 5 10
si4_m4D_m256.04 5 10
si4_m4D_m256.09 5 10
si4_m4D_m256.02 5 10
si4_m4D_m256.00 5 13
si4_m4D_m256.03 5 10
si4_m4D_m256.01 5 10
si6_b06m_m800.07 4 257
si6_b06m_m800.04 4 261
si6_b06m_m800.01 4 379
si6_b06m_m800.00 4 253
si6_b06m_m800.05 4 250
si6_b06m_m800.08 4 256
si6_b06m_m800.09 4 251
si6_b06m_m800.02 4 256
si6_b06m_m800.03 4 257
si6_b06m_m800.06 4 305
si4_r001_m400.08 7 483
si4_r001_m400.06 7 40
si4_r001_m400.02 7 50
si4_r001_m400.00 7 61
si4_r001_m400.04 7 57
si4_r001_m400.03 7 51
si4_r001_m400.09 7 59
si4_r001_m400.05 7 772
si4_r001_m400.01 7 50
si4_r001_m400.07 7 115
si2_m4Dr6_m1296.00 6 392
si2_m4Dr6_m1296.01 6 352
si2_m4Dr6_m1296.09 6 347
si2_m4Dr6_m1296.06 6 346
si2_m4Dr6_m1296.03 6 349
si2_m4Dr6_m1296.02 6 354
si2_m4Dr6_m1296.05 6 493
si2_m4Dr6_m1296.08 6 343
si2_m4Dr6_m1296.04 6 355
si2_m4Dr6_m1296.07 6 352
si2_b03_m800.07 3 101
si2_b03_m800.08 3 101
si2_b03_m800.04 3 107
si2_b03_m800.05 3 101
si2_b03_m800.09 3 101
si2_b03_m800.00 3 101
si2_b03_m800.02 3 102
si2_b03_m800.03 3 101
si2_b03_m800.01 3 123
si2_b03_m800.06 3 101
si4_b03m_m200.05 4 5
si4_b03m_m200.02 4 5
si4_b03m_m200.04 4 5
si4_b03m_m200.07 4 6
si4_b03m_m200.00 4 6
si4_b03m_m200.06 4 5
si4_b03m_m200.03 4 7
si4_b03m_m200.09 4 5
si4_b03m_m200.08 4 5
si4_b03m_m200.01 4 5
si2_b06m_m200.04 4 4
si2_b06m_m200.03 4 6
si2_b06m_m200.08 4 6
si2_b06m_m200.06 4 6
si2_b06m_m200.05 4 4
si2_b06m_m200.02 4 4
si2_b06m_m200.00 4 4
si2_b06m_m200.01 4 4
si2_b06m_m200.09 4 4
si2_b06m_m200.07 4 4
si6_m4Dr4_m625.05 6 164
si6_m4Dr4_m625.09 6 140
si6_m4Dr4_m625.04 6 140
si6_m4Dr4_m625.00 6 149
si6_m4Dr4_m625.08 6 154
si6_m4Dr4_m625.06 6 138
si6_m4Dr4_m625.01 6 146
si6_m4Dr4_m625.03 6 147
si6_m4Dr4_m625.07 6 151
si6_m4Dr4_m625.02 6 139
si4_b03_m200.06 3 9
si4_b03_m200.02 3 7
si4_b03_m200.07 3 9
si4_b03_m200.04 3 7
si4_b03_m200.03 3 7
si4_b03_m200.05 3 7
si4_b03_m200.09 3 8
si4_b03_m200.01 3 9
si4_b03_m200.00 3 7
si4_b03_m200.08 3 7
si2_b03_m400.03 3 19
si2_b03_m400.06 3 18
si2_b03_m400.07 3 25
si2_b03_m400.01 3 19
si2_b03_m400.05 3 19
si2_b03_m400.09 3 19
si2_b03_m400.02 3 19
si2_b03_m400.00 3 19
si2_b03_m400.08 3 18
si2_b03_m400.04 3 22
si4_b09_m200.02 3 9
si4_b09_m200.01 3 9
si4_b09_m200.00 3 12
si4_b09_m200.09 3 11
si4_b09_m200.08 3 9
si4_b09_m200.04 3 9
si4_b09_m200.06 3 9
si4_b09_m200.05 3 9
si4_b09_m200.07 3 9
si4_b09_m200.03 3 9
si4_m4Dr4_m256.05 6 11
